clean_paragraph_index	clean_style	classification	best_submitted_paragraph_index	similarity_score	sequence_ratio	containment	jaccard	clean_excerpt	submitted_excerpt
109	First Paragraph	REVISION_ADDITION_CANDIDATE	3	0.172182	0.086957	0.200000	0.045455	This research received no specific grant from any funding agency in the public, commercial or not-for-profit sectors.	Reuben S. Maghembe1,2*
110	Heading 1	NEAR_UNCHANGED	47	0.822236	0.016064	1.000000	0.012422	Ethics approval	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
111	First Paragraph	REVISION_ADDITION_CANDIDATE	47	0.262452	0.193103	0.279070	0.186747	This study reanalysed publicly available de-identified transcriptomic datasets and did not involve new recruitment of human participants, new collection of human biospecimens or...	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
112	Heading 1	NEAR_UNCHANGED	46	0.825294	0.044444	1.000000	0.029412	Data availability	Data Availability All transcriptomic datasets analysed in this study are publicly available from the NCBI Gene Expression Omnibus. The discovery analysis used GSE211567, and the...
113	First Paragraph	REVISION_ADDITION_CANDIDATE	70	0.412647	0.015625	0.500000	0.014706	This study reanalysed publicly available transcriptomic datasets from the NCBI Gene Expression Omnibus. The discovery dataset is GSE211567 (https://www.ncbi.nlm.nih.gov/geo/quer...	Supplementary Material
114	Heading 1	NEAR_UNCHANGED	47	0.822236	0.016064	1.000000	0.012422	Code availability	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
115	First Paragraph	REVISION_ADDITION_CANDIDATE	70	0.414737	0.035714	0.500000	0.026316	Analysis scripts, decision logs, quality gates, source-data tables, manuscript-facing figures and supplementary outputs are available in the public project repository at https:/...	Supplementary Material
116	Heading 1	NEAR_UNCHANGED	47	0.822236	0.016064	1.000000	0.012422	Author contributions	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
117	First Paragraph	MODIFIED_CANDIDATE	47	0.641667	0.189091	0.750000	0.148148	Reuben S. Maghembe: Conceptualisation, methodology, formal analysis, investigation, data curation, visualisation, writing - original draft, writing - review and editing, project...	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
118	Heading 1	REVISION_ADDITION_CANDIDATE	1	0.000000	0.000000	0.000000	0.000000	Acknowledgements	Manuscript Click here to access/download;Manuscript;PLOS_ONE_manuscript_18_6_202
119	First Paragraph	REVISION_ADDITION_CANDIDATE	47	0.284228	0.190789	0.315789	0.140449	The author thanks the investigators and participants of the public transcriptomic studies reanalysed in this work, including GSE211567, GSE73461 and GSE72810. The author also ac...	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
120	Heading 1	REVISION_ADDITION_CANDIDATE	47	0.558889	0.077220	0.666667	0.067901	Declaration of generative AI and AI-assisted technologies in the manuscript preparation process	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
121	First Paragraph	NEAR_UNCHANGED	11	0.822400	0.019417	1.000000	0.013333	During preparation and revision of this manuscript, the author used ChatGPT, an AI-assisted tool provided by OpenAI, to assist with editorial organisation, language refinement, ...	Results
122	Heading 1	NEAR_UNCHANGED	48	0.823273	0.031250	1.000000	0.018182	References	References 1. Halabi S, Shiber S, Paz M, Gottlieb TM, Barash E, Navon R, et al. Host test based on tumour necrosis factor-related apoptosis-inducing ligand, interferon gamma-ind...
123	First Paragraph	MODIFIED_CANDIDATE	49	0.822581	0.822581	0.377049	0.758621	[1] Metlay JP, Waterer GW, Long AC, Anzueto A, Brozek J, Crothers K, et al. Diagnosis and treatment of adults with community-acquired pneumonia. An official clinical practice gu...	2. Metlay JP, Waterer GW, Long AC, Anzueto A, Brozek J, Crothers K, et al. Diagnosis and treatment of adults with community-acquired pneumonia: An official clinical practice gui...
124	Body Text	MODIFIED_CANDIDATE	48	0.866142	0.866142	0.698413	0.790323	[2] Halabi S, Shiber S, Paz M, Gottlieb TM, Barash E, Navon R, et al. Host test based on tumour necrosis factor-related apoptosis-inducing ligand, interferon gamma-induced prote...	References 1. Halabi S, Shiber S, Paz M, Gottlieb TM, Barash E, Navon R, et al. Host test based on tumour necrosis factor-related apoptosis-inducing ligand, interferon gamma-ind...
125	Body Text	MODIFIED_CANDIDATE	50	0.878049	0.878049	0.688525	0.813559	[3] Papan C, Argentiero A, Porwoll M, Hakim U, Farinelli E, Testa I, et al. A host signature based on TRAIL, IP-10, and CRP for reducing antibiotic overuse in children by differ...	3. Papan C, Argentiero A, Porwoll M, Hakim U, Farinelli E, Testa I, et al. A host signature based on TRAIL, IP-10, and CRP for reducing antibiotic overuse in children by differe...
126	Body Text	MODIFIED_CANDIDATE	51	0.870370	0.870370	0.660377	0.800000	[4] Rhedin S, Eklundh A, Ryd-Rinder M, Peltola V, Waris M, Gantelius J, et al. Myxovirus resistance protein A for discriminating between viral and bacterial lower respiratory tr...	4. Rhedin S, Eklundh A, Ryd-Rinder M, Peltola V, Waris M, Gantelius J, et al. Myxovirus resistance protein A for discriminating between viral and bacterial lower respiratory tra...
127	Body Text	MODIFIED_CANDIDATE	52	0.813953	0.813953	0.619048	0.682927	[5] Jain S, Self WH, Wunderink RG, Fakhran S, Balk R, Bramley AM, et al. Community-acquired pneumonia requiring hospitalization among U.S. adults. N Engl J Med. 2015;373:415-27....	5. Jain S, Self WH, Wunderink RG, Fakhran S, Balk R, Bramley AM, et al. Community-acquired pneumonia requiring hospitalization among U.S. adults. New England Journal of Medicine...
128	Body Text	MODIFIED_CANDIDATE	53	0.883721	0.883721	0.512195	0.846154	[6] Rutjes AWS, Reitsma JB, Coomarasamy A, Khan KS, Bossuyt PMM. Evaluation of diagnostic tests when there is no gold standard. A review of methods. Health Technol Assess. 2007;...	6. Rutjes AWS, Reitsma JB, Coomarasamy A, Khan KS, Bossuyt PMM. Evaluation of diagnostic tests when there is no gold standard: A review of methods. Health Technology Assessment....
129	Body Text	MODIFIED_CANDIDATE	55	0.907216	0.907216	0.808511	0.866667	[7] Herberg JA, Kaforou M, Wright VJ, Shailes H, Eleftherohorinou H, Hoggart CJ, et al. Diagnostic test accuracy of a 2-transcript host RNA signature for discriminating bacteria...	8. Herberg JA, Kaforou M, Wright VJ, Shailes H, Eleftherohorinou H, Hoggart CJ, et al. Diagnostic test accuracy of a 2-transcript host RNA signature for discriminating bacterial...
130	Body Text	MODIFIED_CANDIDATE	54	0.863636	0.863636	0.372093	0.790698	[8] Andres-Terre M, McGuire HM, Pouliot Y, Bongen E, Sweeney TE, Tato CM, et al. Integrated, multi-cohort analysis identifies conserved transcriptional signatures across multipl...	7. Andres-Terre M, McGuire HM, Pouliot Y, Bongen E, Sweeney TE, Tato CM, et al. Integrated, multi- cohort analysis identifies conserved transcriptional signatures across multipl...
131	Body Text	MODIFIED_CANDIDATE	57	0.831169	0.831169	0.567568	0.756757	[9] Sweeney TE, Wong HR, Khatri P. Robust classification of bacterial and viral infections via integrated host gene expression diagnostics. Sci Transl Med. 2016;8:346ra91. DOI:h...	10. Sweeney TE, Wong HR, Khatri P. Robust classification of bacterial and viral infections via integrated host gene expression diagnostics. Science Translational Medicine. 2016;...
132	Body Text	NEAR_UNCHANGED	56	0.923077	0.923077	0.818182	0.923077	[10] Oved K, Cohen A, Boico O, Navon R, Friedman T, Etshtein L, et al. A novel host-proteome signature for distinguishing between acute bacterial and viral infections. PLoS One....	9. Oved K, Cohen A, Boico O, Navon R, Friedman T, Etshtein L, et al. A novel host-proteome signature for distinguishing between acute bacterial and viral infections. PLOS ONE. 2...
133	Body Text	MODIFIED_CANDIDATE	58	0.886364	0.886364	0.604651	0.871795	[11] Fernandez-Carballo BL, Escadafal C, MacLean E, Kapasi AJ, Dittrich S. Distinguishing bacterial versus non-bacterial causes of febrile illness - a systematic review of host ...	11. Fernandez-Carballo BL, Escadafal C, MacLean E, Kapasi AJ, Dittrich S. Distinguishing bacterial versus non-bacterial causes of febrile illness: A systematic review of host bi...
134	Body Text	REVISION_ADDITION_CANDIDATE	57	0.202899	0.202899	0.062500	0.057692	[12] National Center for Biotechnology Information. Gene Expression Omnibus accession GSE211567. Available from: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211567	10. Sweeney TE, Wong HR, Khatri P. Robust classification of bacterial and viral infections via integrated host gene expression diagnostics. Science Translational Medicine. 2016;...
135	Body Text	REVISION_ADDITION_CANDIDATE	38	0.204082	0.204082	0.156250	0.104478	[13] National Center for Biotechnology Information. Gene Expression Omnibus accession GSE73461. Available from: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73461	GSE211567 discovery and module locking GSE211567 metadata and normalised expression data were audited before modelling (National Center for Biotechnology Information, n.d.-a). S...
136	Body Text	REVISION_ADDITION_CANDIDATE	38	0.204082	0.204082	0.156250	0.104478	[14] National Center for Biotechnology Information. Gene Expression Omnibus accession GSE72810. Available from: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72810	GSE211567 discovery and module locking GSE211567 metadata and normalised expression data were audited before modelling (National Center for Biotechnology Information, n.d.-a). S...
137	Body Text	MODIFIED_CANDIDATE	63	0.894118	0.894118	0.682927	0.853659	[15] Ritchie ME, Phipson B, Wu D, Hu Y, Law CW, Shi W, et al. limma powers differential expression analyses for RNA-sequencing and microarray studies. Nucleic Acids Res. 2015;43...	16. Ritchie ME, Phipson B, Wu D, Hu Y, Law CW, Shi W, et al. limma powers differential expression analyses for RNA-sequencing and microarray studies. Nucleic Acids Research. 201...
138	Body Text	MODIFIED_CANDIDATE	64	0.831169	0.831169	0.648649	0.743590	[16] Ashburner M, Ball CA, Blake JA, Botstein D, Butler H, Cherry JM, et al. Gene Ontology: tool for the unification of biology. Nat Genet. 2000;25:25-9. DOI:https://doi.org/10....	17. Ashburner M, Ball CA, Blake JA, Botstein D, Butler H, Cherry JM, et al. Gene Ontology: Tool for the unification of biology. Nature Genetics. 2000;25: 25-29. doi:10.1038/75556
139	Body Text	MODIFIED_CANDIDATE	65	0.813559	0.813559	0.535714	0.703704	[17] Gene Ontology Consortium. The Gene Ontology resource: enriching a GOld mine. Nucleic Acids Res. 2021;49:D325-34. DOI:https://doi.org/10.1093/nar/gkaa1113	18. Gene Ontology Consortium. The Gene Ontology resource: Enriching a GOld mine. Nucleic Acids Research. 2021;49: D325-D334. doi:10.1093/nar/gkaa1113
140	Body Text	MODIFIED_CANDIDATE	66	0.782609	0.782609	0.422222	0.688889	[18] Benjamini Y, Hochberg Y. Controlling the false discovery rate: a practical and powerful approach to multiple testing. J R Stat Soc Series B Stat Methodol. 1995;57:289-300. ...	19. Benjamini Y, Hochberg Y. Controlling the false discovery rate: A practical and powerful approach to multiple testing. Journal of the Royal Statistical Society: Series B (Met...
141	Body Text	MODIFIED_CANDIDATE	59	0.750000	0.750000	0.516129	0.636364	[19] Schneider WM, Chevillotte MD, Rice CM. Interferon-stimulated genes: a complex web of host defences. Annu Rev Immunol. 2014;32:513-45. DOI:https://doi.org/10.1146/annurev-im...	12. Schneider WM, Chevillotte MD, Rice CM. Interferon-stimulated genes: A complex web of host defences. Annual Review of Immunology. 2014;32: 513-545. doi:10.1146/annurev-immuno...
142	Body Text	MODIFIED_CANDIDATE	60	0.761905	0.761905	0.500000	0.636364	[20] O'Neill LAJ, Kishton RJ, Rathmell J. A guide to immunometabolism for immunologists. Nat Rev Immunol. 2016;16:553-65. DOI:https://doi.org/10.1038/nri.2016.70	13. O’Neill LAJ, Kishton RJ, Rathmell J. A guide to immunometabolism for immunologists. Nature Reviews Immunology. 2016;16: 553-565. doi:10.1038/nri.2016.70
143	Body Text	MODIFIED_CANDIDATE	61	0.793651	0.793651	0.533333	0.687500	[21] Russell DG, Huang L, VanderVen BC. Immunometabolism at the interface between macrophages and pathogens. Nat Rev Immunol. 2019;19:291-304. DOI:https://doi.org/10.1038/s41577...	14. Russell DG, Huang L, VanderVen BC. Immunometabolism at the interface between macrophages and pathogens. Nature Reviews Immunology. 2019;19: 291-304. doi:10.1038/s41577-019-0...
144	Normal	REVISION_ADDITION_CANDIDATE	71	0.579394	0.307692	0.666667	0.181818	Supporting information captions	Click here to access/download Supporting Information S1_Dataset_supplementary_tables_S1_to_S5.xlsx
145	Normal	REVISION_ADDITION_CANDIDATE	45	0.218846	0.142857	0.250000	0.076923	S1 Fig. Sensitivity and robustness of locked host-response modules	Declarations and availability statements
146	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.208600	0.030769	0.250000	0.020000	A, Z-reference, case-definition and probe-collapse sensitivities. Rank-biserial bacterial-versus-viral effects and bootstrap 95% confidence intervals are shown for the two GSE73...	Declarations and availability statements
147	Body Text	NEAR_UNCHANGED	35	0.822903	0.023529	1.000000	0.016129	B, Mean-z versus GSVA scoring-method sensitivity in GSE73461. Rank-biserial effects are displayed because they are comparable across scoring methods with different raw score sca...	Methods
148	Body Text	REVISION_ADDITION_CANDIDATE	45	0.209390	0.034483	0.250000	0.024390	C, Exhaustive leave-one/two-gene robustness in GSE73461. Points show the minimum Pearson correlation between each deletion variant and the corresponding complete-module score. A...	Declarations and availability statements
149	Body Text	REVISION_ADDITION_CANDIDATE	18	0.229885	0.229885	0.114286	0.200000	Positive rank-biserial effects indicate bacterial-higher scores and negative effects indicate viral-higher scores. These analyses evaluate robustness of the predefined modules a...	Fixed-module external projection supports transportability of the locked host-response architecture Locked GSE211567 modules were scored in GSE73461 using the pre-specified unwe...
